datetime,day_of_week,month,is_weekend,temperature,rain_mm,demand
2023-01-01 00:00:00,6,1,1,24.483570765056164,0.3532685020575003,29.0
2023-01-01 01:00:00,6,1,1,21.308678494144075,5.84775701195809,30.0
2023-01-01 02:00:00,6,1,1,25.23844269050346,1.1419909547944844,30.0
2023-01-01 03:00:00,6,1,1,29.61514928204013,0.5249865461661408,33.0
2023-01-01 04:00:00,6,1,1,20.829233126383322,0.8206097182317202,33.0
2023-01-01 05:00:00,6,1,1,20.8293152152541,0.5375701760199089,30.0
2023-01-01 06:00:00,6,1,1,29.896064077536955,2.1919847001717896,30.0
2023-01-01 07:00:00,6,1,1,25.837173645764544,0.6587445458544462,27.0
2023-01-01 08:00:00,6,1,1,19.65262807032524,1.734595185965732,27.0
2023-01-01 09:00:00,6,1,1,24.712800217929825,1.833683932637642,29.0
2023-01-01 10:00:00,6,1,1,19.682911535937688,1.7391613515836644,25.0
2023-01-01 11:00:00,6,1,1,19.671351232148716,1.2808128576938076,27.0
2023-01-01 12:00:00,6,1,1,23.20981135783017,1.9301785596049919,26.0
2023-01-01 13:00:00,6,1,1,12.43359877671101,0.4897649313404989,28.0
2023-01-01 14:00:00,6,1,1,13.375410837434837,0.12178714833636593,25.0
2023-01-01 15:00:00,6,1,1,19.188562353795135,1.848039097091861,28.0
2023-01-01 16:00:00,6,1,1,16.93584439832788,0.6894907049965947,23.0
2023-01-01 17:00:00,6,1,1,23.571236662976368,0.13625055193576222,21.0
2023-01-01 18:00:00,6,1,1,17.459879622393945,0.12252082874918793,26.0
2023-01-01 19:00:00,6,1,1,14.938481493323543,0.1734518817299376,24.0
2023-01-01 20:00:00,6,1,1,29.32824384460777,1.3901949973882615,24.0
2023-01-01 21:00:00,6,1,1,20.871118497567323,1.2408327742440441,24.0
2023-01-01 22:00:00,6,1,1,22.33764102343962,0.22792833036520543,25.0
2023-01-01 23:00:00,6,1,1,14.876259068932717,1.8768169475855783,25.0
2023-01-02 00:00:00,0,1,0,19.278086377374088,0.3303040130260216,24.0
2023-01-02 01:00:00,0,1,0,22.55461294854933,1.574966842320416,25.0
2023-01-02 02:00:00,0,1,0,16.245032112888488,0.6710059325875891,22.0
2023-01-02 03:00:00,0,1,0,23.87849009172836,1.3150856944652027,30.0
2023-01-02 04:00:00,0,1,0,18.996806550405974,0.48027647562832876,23.0
2023-01-02 05:00:00,0,1,0,20.541531251033618,0.4263934823747612,25.0
2023-01-02 06:00:00,0,1,0,18.991466938853016,1.841115266781686,20.0
2023-01-02 07:00:00,0,1,0,31.261390922544688,0.03594044381890174,25.0
2023-01-02 08:00:00,0,1,0,21.93251387631033,3.6784123165316367,24.0
2023-01-02 09:00:00,0,1,0,16.711445355220498,1.0446343422421966,24.0
2023-01-02 10:00:00,0,1,0,26.112724560515943,0.5664852581597367,26.0
2023-01-02 11:00:00,0,1,0,15.895781750144888,0.989008024568271,28.0
2023-01-02 12:00:00,0,1,0,23.044317975023777,0.13095294420613135,25.0
2023-01-02 13:00:00,0,1,0,12.201649380601122,0.7216545936095694,21.0
2023-01-02 14:00:00,0,1,0,15.359069755507846,4.206093664162438,21.0
2023-01-02 15:00:00,0,1,0,22.984306179345616,0.2682317135303846,24.0
2023-01-02 16:00:00,0,1,0,25.692332899977053,1.2811350222276108,16.0
2023-01-02 17:00:00,0,1,0,22.85684140594985,0.5708788868742066,21.0
2023-01-02 18:00:00,0,1,0,21.421758588058797,1.0568701852232347,16.0
2023-01-02 19:00:00,0,1,0,20.494481522053555,0.22927132368549544,23.0
2023-01-02 20:00:00,0,1,0,14.607390048162863,0.6357559832049862,19.0
2023-01-02 21:00:00,0,1,0,18.400778958026457,3.916669476538881,17.0
2023-01-02 22:00:00,0,1,0,19.696806145201062,0.21726977453614044,19.0
2023-01-02 23:00:00,0,1,0,27.285611131094576,1.0118247633154702,20.0
2023-01-03 00:00:00,1,1,0,23.71809144784231,0.8570735677483556,25.0
2023-01-03 01:00:00,1,1,0,13.18479922318633,0.8325278440990459,27.0
